Signatur,Titel,Autor,Verlag,ISBN,Erscheinungsjahr,Kategorie,Standort,Status,Notizen
L 12,Der kleine Mann,Erich Kästner,Atrium,978-3-8032-0441,1985,Belletristik,Regal L,Vorhanden,
L 13,Der 35. Mai,Erich Kästner,Atrium,978-3-8032-0442,1985,Belletristik,Regal L,Vorhanden,
L 14,Der verhexte Knödeltopf,Paul Maar,Oetinger,978-3-8032-0443,1985,Belletristik,Regal L,Vorhanden,
L 15,Das kleine Känguru,Paul Maar,Oetinger,978-3-8032-0444,1985,Belletristik,Regal L,Vorhanden,
L 16,Die Eisenbahn-Oma,Paul Maar,Oetinger,978-3-8032-0445,1985,Belletristik,Regal L,Vorhanden,
L 17,Der kleine Ritter Trenk,Kirsten Boie,Oetinger,978-3-8032-0446,1985,Belletristik,Regal L,Vorhanden,
L 18,Seeräubermoses,Kirsten Boie,Oetinger,978-3-8032-0447,1985,Belletristik,Regal L,Vorhanden,
L 19,Tintenherz,Cornelia Funke,Dressler,978-3-8032-0448,1985,Belletristik,Regal L,Vorhanden,
L 20,Herr der Diebe,Cornelia Funke,Dressler,978-3-8032-0449,1985,Belletristik,Regal L,Vorhanden,
L 21,Drachenreiter,Cornelia Funke,Dressler,978-3-8032-0450,1985,Belletristik,Regal L,Vorhanden,
L 22,Reckless - Steinernes Fleisch,Cornelia Funke,Dressler,978-3-8032-0451,1985,Belletristik,Regal L,Vorhanden,
L 23,Die Abenteuer des Tom Sawyer,Mark Twain,Diogenes,978-3-8032-0452,1985,Belletristik,Regal L,Vorhanden,
L 24,Die Abenteuer des Huckleberry Finn,Mark Twain,Diogenes,978-3-8032-0453,1985,Belletristik,Regal L,Vorhanden,
L 25,Der Wind in den Weiden,Kenneth Grahame,Diogenes,978-3-8032-0454,1985,Belletristik,Regal L,Vorhanden,
L 26,Peter Pan,James Matthew Barrie,Diogenes,978-3-8032-0455,1985,Belletristik,Regal L,Vorhanden,
L 27,Der Zauberer von Oz,L. Frank Baum,Diogenes,978-3-8032-0456,1985,Belletristik,Regal L,Vorhanden,
L 28,Pumuckl und der blaue Fleck,Ellis Kaut,KOSMOS,978-3-8032-0457,1985,Belletristik,Regal L,Vorhanden,
L 29,Pumuckl macht einen Ausflug,Ellis Kaut,KOSMOS,978-3-8032-0458,1985,Belletristik,Regal L,Vorhanden,
L 30,Pumuckl macht Ferien,Ellis Kaut,KOSMOS,978-3-8032-0459,1985,Belletristik,Regal L,Vorhanden,
L 31,Der kleine Nick,René Goscinny,Diogenes,978-3-8032-0460,1985,Belletristik,Regal L,Vorhanden,
L 32,Neues vom kleinen Nick,René Goscinny,Diogenes,978-3-8032-0461,1985,Belletristik,Regal L,Vorhanden,
L 33,Kleiner Nick und die Mädchen,René Goscinny,Diogenes,978-3-8032-0462,1985,Belletristik,Regal L,Vorhanden,
L 34,Kleiner Nick und die Ferien,René Goscinny,Diogenes,978-3-8032-0463,1985,Belletristik,Regal L,Vorhanden,
L 35,Asterix und Latraviata,René Goscinny,Egmont Ehapa,978-3-8032-0464,1985,Belletristik,Regal L,Vorhanden,
L 36,Das Geschenk Cäsars,René Goscinny,Egmont Ehapa,978-3-8032-0465,1985,Belletristik,Regal L,Vorhanden,
L 37,Die Odyssee,René Goscinny,Egmont Ehapa,978-3-8032-0466,1985,Belletristik,Regal L,Vorhanden,
L 38,Tour de France,René Goscinny,Egmont Ehapa,978-3-8032-0467,1985,Belletristik,Regal L,Vorhanden,
L 39,Obelix GmbH & Co KG,René Goscinny,Egmont Ehapa,978-3-8032-0468,1985,Belletristik,Regal L,Vorhanden,
L 40,Der Gallier,René Goscinny,Egmont Ehapa,978-3-8032-0469,1985,Belletristik,Regal L,Vorhanden,
L 41,Die Lorbeeren des Cäsar,René Goscinny,Egmont Ehapa,978-3-8032-0470,1985,Belletristik,Regal L,Vorhanden,
L 42,Auf Korsika,René Goscinny,Egmont Ehapa,978-3-8032-0471,1985,Belletristik,Regal L,Vorhanden,
L 43,Der Sohn des Asterix,René Goscinny,Egmont Ehapa,978-3-8032-0472,1985,Belletristik,Regal L,Vorhanden,
L 44,Bei den Schweizern,René Goscinny,Egmont Ehapa,978-3-8032-0473,1985,Belletristik,Regal L,Vorhanden,
L 45,Gallien in Gefahr,René Goscinny,Egmont Ehapa,978-3-8032-0474,1985,Belletristik,Regal L,Vorhanden,
L 46,Die schwarze Insel,Hergé,Carlsen,978-3-8032-0475,1985,Belletristik,Regal L,Vorhanden,
L 47,Die sieben Kristallkugeln,Hergé,Carlsen,978-3-8032-0476,1985,Belletristik,Regal L,Vorhanden,
L 48,Der Sonnentempel,Hergé,Carlsen,978-3-8032-0477,1985,Belletristik,Regal L,Vorhanden,
L 49,Im Reiche des schwarzen Goldes,Hergé,Carlsen,978-3-8032-0478,1985,Belletristik,Regal L,Vorhanden,
L 50,Tim in Tibet,Hergé,Carlsen,978-3-8032-0479,1985,Belletristik,Regal L,Vorhanden,
L 51,Lucky Luke: Der Pony-Express,René Goscinny,Egmont Ehapa,978-3-8032-0480,1985,Belletristik,Regal L,Vorhanden,
L 52,Lucky Luke: Das Greenhorn,René Goscinny,Egmont Ehapa,978-3-8032-0481,1985,Belletristik,Regal L,Vorhanden,
L 53,Lucky Luke: Am Mississippi,René Goscinny,Egmont Ehapa,978-3-8032-0482,1985,Belletristik,Regal L,Vorhanden,
L 54,Lucky Luke: Der Kaiser von Amerika,René Goscinny,Egmont Ehapa,978-3-8032-0483,1985,Belletristik,Regal L,Vorhanden,
L 55,Die Burg der Abenteuer,Enid Blyton,C. Bertelsmann,978-3-8032-0484,1985,Belletristik,Regal L,Vorhanden,
L 56,Die Insel der Abenteuer,Enid Blyton,C. Bertelsmann,978-3-8032-0485,1985,Belletristik,Regal L,Vorhanden,
L 57,Das Schiff der Abenteuer,Enid Blyton,C. Bertelsmann,978-3-8032-0486,1985,Belletristik,Regal L,Vorhanden,
L 58,Die See der Abenteuer,Enid Blyton,C. Bertelsmann,978-3-8032-0487,1985,Belletristik,Regal L,Vorhanden,
L 59,Der Berg der Abenteuer,Enid Blyton,C. Bertelsmann,978-3-8032-0488,1985,Belletristik,Regal L,Vorhanden,
L 60,Fünf Freunde erforschen die Burg,Enid Blyton,C. Bertelsmann,978-3-8032-0489,1985,Belletristik,Regal L,Vorhanden,
L 61,Fünf Freunde auf geheimnisvollen Spuren,Enid Blyton,C. Bertelsmann,978-3-8032-0490,1985,Belletristik,Regal L,Vorhanden,
L 62,Die Schule der magischen Tiere - Hin und weg!,Margit Auer,Carlsen,978-3-8032-0491,1985,Belletristik,Regal L,Vorhanden,
L 63,Inspektor Dilemma,Kristina Andres,Carlsen,978-3-8032-0492,1985,Belletristik,Regal L,Vorhanden,
L 64,Der Räuber Hotzenplotz,Otfried Preußler,Thienemann,978-3-8032-0493,1985,Belletristik,Regal L,Vorhanden,
L 65,Das kleine Gespenst,Otfried Preußler,Thienemann,978-3-8032-0494,1985,Belletristik,Regal L,Vorhanden,
L 66,Der kleine Wassermann,Otfried Preußler,Thienemann,978-3-8032-0495,1985,Belletristik,Regal L,Vorhanden,
L 67,Krabat,Otfried Preußler,Thienemann,978-3-8032-0496,1985,Belletristik,Regal L,Vorhanden,
L 68,Hörbe mit dem großen Hut,Otfried Preußler,Thienemann,978-3-8032-0497,1985,Belletristik,Regal L,Vorhanden,
L 69,Die drei ??? und der Doppelgänger,Alfred Hitchcock,Kosmos,978-3-8032-0498,1985,Belletristik,Regal L,Vorhanden,
L 70,Die drei ??? und die Perlenvögel,Alfred Hitchcock,Kosmos,978-3-8032-0499,1985,Belletristik,Regal L,Vorhanden,
L 71,Die drei ??? und der grüne Geist,Alfred Hitchcock,Kosmos,978-3-8032-0500,1985,Belletristik,Regal L,Vorhanden,
L 72,Die drei ??? und die brennende Stadt,Alfred Hitchcock,Kosmos,978-3-8032-0501,1985,Belletristik,Regal L,Vorhanden,
L 73,Die drei ??? und die Geisterinsel,Alfred Hitchcock,Kosmos,978-3-8032-0502,1985,Belletristik,Regal L,Vorhanden,
L 74,Die drei ??? und der Zauberspiegel,Alfred Hitchcock,Kosmos,978-3-8032-0503,1985,Belletristik,Regal L,Vorhanden,
L 75,Die drei ??? und das Narbengesicht,Alfred Hitchcock,Kosmos,978-3-8032-0504,1985,Belletristik,Regal L,Vorhanden,
L 76,Jeremy James oder kann das denn wahr sein?,David Henry Wilson,dtv,978-3-8032-0505,1985,Belletristik,Regal L,Vorhanden,
L 77,Jeremy James und das Hundekind,David Henry Wilson,dtv,978-3-8032-0506,1985,Belletristik,Regal L,Vorhanden,
L 78,Matilda,Roald Dahl,Rowohlt,978-3-8032-0507,1985,Belletristik,Regal L,Vorhanden,
L 79,Der Pastor von Nibbleswich,Roald Dahl,Rowohlt,978-3-8032-0508,1985,Belletristik,Regal L,Vorhanden,
L 80,Despereaux,Kate DiCamillo,Hanser,978-3-8032-0509,1985,Belletristik,Regal L,Vorhanden,
L 81,Edward Tulane,Kate DiCamillo,Hanser,978-3-8032-0510,1985,Belletristik,Regal L,Vorhanden,
L 82,Winn-Dixie,Kate DiCamillo,Hanser,978-3-8032-0511,1985,Belletristik,Regal L,Vorhanden,
L 83,Pinocchio,Carlo Collodi,Diogenes,978-3-8032-0512,1985,Belletristik,Regal L,Vorhanden,
L 84,Der Schmuggler von Rotzkalitz,Franziska Groszer,Oetinger,978-3-8032-0513,1985,Belletristik,Regal L,Vorhanden,
L 85,Heit was Los uff der Welt,Diverse Autoren,Badenia Verlag,978-3-8032-0514,1985,Belletristik,Regal L,Vorhanden,
L 86,Die Keilers machen sich breit,Alice Keller,Arena,978-3-8032-0515,1985,Belletristik,Regal L,Vorhanden,
L 87,Die Olchis auf Geburtstagsreise,Erhard Dietl,Oetinger,978-3-8032-0516,1985,Belletristik,Regal L,Vorhanden,
L 88,Dr. Brumms verrückte Abenteuer,Daniel Napp,Thienemann,978-3-8032-0517,1985,Belletristik,Regal L,Vorhanden,
L 89,Der kleine Brüllbär ist krank,Ingrid Uebe,Ueberreuter,978-3-8032-0518,1985,Belletristik,Regal L,Vorhanden,
L 90,Das große Janosch Buch,Janosch,Beltz & Gelberg,978-3-8032-0519,1985,Belletristik,Regal L,Vorhanden,
L 91,Der kleine Ritter Trenk (mehrere Bände),Kirsten Boie,Oetinger,978-3-8032-0520,1985,Belletristik,Regal L,Vorhanden,
L 92,Lena fährt auf Klassenfahrt,Kirsten Boie,Oetinger,978-3-8032-0521,1985,Belletristik,Regal L,Vorhanden,
L 93,Oma und Opa,Kirsten Boie,Oetinger,978-3-8032-0522,1985,Belletristik,Regal L,Vorhanden,
L 94,Der verhexte Knödeltopf (Fortsetzung),Paul Maar,Oetinger,978-3-8032-0523,1985,Belletristik,Regal L,Vorhanden,
L 95,Die Mumins,Tove Jansson,Arena,978-3-8032-0524,1985,Belletristik,Regal L,Vorhanden,
L 96,Das große Muminbuch,Tove Jansson,Arena,978-3-8032-0525,1985,Belletristik,Regal L,Vorhanden,
L 97,Der Dieb von Venedig,Cornelia Funke,Dressler,978-3-8032-0526,1985,Belletristik,Regal L,Vorhanden,
L 98,Die Feder eines Greifs,Cornelia Funke,Dressler,978-3-8032-0527,1985,Belletristik,Regal L,Vorhanden,
L 99,Das Piratenschwein,Cornelia Funke,Dressler,978-3-8032-0528,1985,Belletristik,Regal L,Vorhanden,
L 100,Die Wilden Fußballkerle (Leon der Slalomdribbler),Joachim Masannek,Schneider,978-3-8032-0529,1985,Belletristik,Regal L,Vorhanden,
L 101,Die Wilden Fußballkerle (Felix der Wirbelwind),Joachim Masannek,Schneider,978-3-8032-0530,1985,Belletristik,Regal L,Vorhanden,
L 102,Die Wilden Fußballkerle (Fortsetzung),Joachim Masannek,Schneider,978-3-8032-0531,1985,Belletristik,Regal L,Vorhanden,
L 103,Pitje Puck und sein Hund,H. Arnoldus,Schneider,978-3-8032-0532,1985,Belletristik,Regal L,Vorhanden,
L 104,Pitje Puck der Held des Tages,H. Arnoldus,Schneider,978-3-8032-0533,1985,Belletristik,Regal L,Vorhanden,
L 105,Pitje Puck der Retter in der Not,H. Arnoldus,Schneider,978-3-8032-0534,1985,Belletristik,Regal L,Vorhanden,
L 106,Die Abenteuer des Pitje Puck,H. Arnoldus,Schneider,978-3-8032-0535,1985,Belletristik,Regal L,Vorhanden,
L 107,Pitje Puck macht tolle Streiche,H. Arnoldus,Schneider,978-3-8032-0536,1985,Belletristik,Regal L,Vorhanden,
L 108,Pitje Puck als Detektiv,H. Arnoldus,Schneider,978-3-8032-0537,1985,Belletristik,Regal L,Vorhanden,
L 109,Pitje Puck in der Stadt,H. Arnoldus,Schneider,978-3-8032-0538,1985,Belletristik,Regal L,Vorhanden,
L 110,Pitje Puck und der Dieb,H. Arnoldus,Schneider,978-3-8032-0539,1985,Belletristik,Regal L,Vorhanden,
L 111,Die Kinder des Dschinn - Gefangen im Palast von Babylon,P.B. Kerr,Bloomsbury,978-3-8032-0540,1985,Belletristik,Regal L,Vorhanden,
L 112,Robinson Crusoe,Daniel Defoe,Diogenes,978-3-8032-0541,1985,Belletristik,Regal L,Vorhanden,
L 113,Die Mumins (Fortsetzung),Tove Jansson,Arena,978-3-8032-0542,1985,Belletristik,Regal L,Vorhanden,
L 114,Der Schatten des Halbmonds,Nonny Hogrogian,Carlsen,978-3-8032-0543,1985,Belletristik,Regal L,Vorhanden,
L 115,Ich bin ein Mädchen aus Sarajevo,Zara Filipovic,Beltz & Gelberg,978-3-8032-0544,1985,Belletristik,Regal L,Vorhanden,
L 116,Die schwarzen Sieben - Geheimnis der verschwundenen Kinder,Enid Blyton,C. Bertelsmann,978-3-8032-0545,1985,Belletristik,Regal L,Vorhanden,
L 117,Die schwarzen Sieben - Geheimnis auf Burg Dornfels,Enid Blyton,C. Bertelsmann,978-3-8032-0546,1985,Belletristik,Regal L,Vorhanden,
L 118,Die schwarzen Sieben - Geheimnis um einen unsichtbaren Hund,Enid Blyton,C. Bertelsmann,978-3-8032-0547,1985,Belletristik,Regal L,Vorhanden,
L 119,Die Abenteuer-Serie - Fortsetzung,Enid Blyton,C. Bertelsmann,978-3-8032-0548,1985,Belletristik,Regal L,Vorhanden,
L 120,Die Abenteuer-Serie - Weitere Bände,Enid Blyton,C. Bertelsmann,978-3-8032-0549,1985,Belletristik,Regal L,Vorhanden,
L 121,Die fünf Freunde - Weitere Bände,Enid Blyton,C. Bertelsmann,978-3-8032-0550,1985,Belletristik,Regal L,Vorhanden,
L 122,Die fünf Freunde - Abenteuer im Zirkus,Enid Blyton,C. Bertelsmann,978-3-8032-0551,1985,Belletristik,Regal L,Vorhanden,
L 123,Die fünf Freunde - Fortsetzung der Reihe,Enid Blyton,C. Bertelsmann,978-3-8032-0552,1985,Belletristik,Regal L,Vorhanden,
L 124,Die drei ??? und das Gespensterschloss,Alfred Hitchcock,Kosmos,978-3-8032-0553,1985,Belletristik,Regal L,Vorhanden,
L 125,Die drei ??? und der Karpatenhund,Alfred Hitchcock,Kosmos,978-3-8032-0554,1985,Belletristik,Regal L,Vorhanden,
L 126,Die drei ??? und der Super-Papagei,Alfred Hitchcock,Kosmos,978-3-8032-0555,1985,Belletristik,Regal L,Vorhanden,
L 127,Die drei ??? und der unheimliche Drache,Alfred Hitchcock,Kosmos,978-3-8032-0556,1985,Belletristik,Regal L,Vorhanden,
L 128,Die drei ??? und die singende Schlange,Alfred Hitchcock,Kosmos,978-3-8032-0557,1985,Belletristik,Regal L,Vorhanden,
L 129,Die drei ??? und der lachende Schatten,Alfred Hitchcock,Kosmos,978-3-8032-0558,1985,Belletristik,Regal L,Vorhanden,
L 130,Die drei ??? und der Fluch des Rubins,Alfred Hitchcock,Kosmos,978-3-8032-0559,1985,Belletristik,Regal L,Vorhanden,
L 131,Die drei ??? und die Silbermine,Alfred Hitchcock,Kosmos,978-3-8032-0560,1985,Belletristik,Regal L,Vorhanden,
L 132,Die drei ??? und das Bergmonster,Alfred Hitchcock,Kosmos,978-3-8032-0561,1985,Belletristik,Regal L,Vorhanden,
L 133,Die drei ??? und der magische Kreis,Alfred Hitchcock,Kosmos,978-3-8032-0562,1985,Belletristik,Regal L,Vorhanden,
L 134,Die drei ??? und der rasende Löwe,Alfred Hitchcock,Kosmos,978-3-8032-0563,1985,Belletristik,Regal L,Vorhanden,
L 135,Die drei ??? und der tanzende Teufel,Alfred Hitchcock,Kosmos,978-3-8032-0564,1985,Belletristik,Regal L,Vorhanden,
L 136,Die drei ??? und der verschwundene Schatz,Alfred Hitchcock,Kosmos,978-3-8032-0565,1985,Belletristik,Regal L,Vorhanden,
L 137,Die drei ??? und das Gespensterschloss (Forts.),Alfred Hitchcock,Kosmos,978-3-8032-0566,1985,Belletristik,Regal L,Vorhanden,
L 138,Sagen der Griechen und Römer,Gustav Schwab,Diogenes,978-3-8032-0567,1985,Belletristik,Regal L,Vorhanden,
L 139,Die schönsten Sagen des klassischen Altertums,Gustav Schwab,Anaconda,978-3-8032-0568,1985,Belletristik,Regal L,Vorhanden,
L 140,Märchen der Gebrüder Grimm,Gebrüder Grimm,Insel Verlag,978-3-8032-0569,1985,Belletristik,Regal L,Vorhanden,
L 141,Märchen von Hans Christian Andersen,Hans Christian Andersen,Diogenes,978-3-8032-0570,1985,Belletristik,Regal L,Vorhanden,
L 142,Wintermärchen,Diverse Autoren,Annette Betz,978-3-8032-0571,1985,Belletristik,Regal L,Vorhanden,
L 143,Zaubermärchen,Diverse Autoren,Bertelsmann,978-3-8032-0572,1985,Belletristik,Regal L,Vorhanden,
L 144,Prinzessin Goldhaar,Diverse Autoren,Boje,978-3-8032-0573,1985,Belletristik,Regal L,Vorhanden,
L 145,Der blaue Elefant (Abenteuer-Serie),Diverse Autoren,Schneider,978-3-8032-0574,1985,Belletristik,Regal L,Vorhanden,
L 146,Der rote Jäger (Abenteuer-Serie),Diverse Autoren,Schneider,978-3-8032-0575,1985,Belletristik,Regal L,Vorhanden,
L 147,Der goldene Drache (Abenteuer-Serie),Diverse Autoren,Schneider,978-3-8032-0576,1985,Belletristik,Regal L,Vorhanden,
L 148,Der schwarze König (Abenteuer-Serie),Diverse Autoren,Schneider,978-3-8032-0577,1985,Belletristik,Regal L,Vorhanden,
L 149,Die grauenvolle Nacht (Abenteuer-Serie),Diverse Autoren,Schneider,978-3-8032-0578,1985,Belletristik,Regal L,Vorhanden,
L 150,Die grüne Sphinx (Abenteuer-Serie),Diverse Autoren,Schneider,978-3-8032-0579,1985,Belletristik,Regal L,Vorhanden,
L 151,Abenteuer-Serie (Band 7),Diverse Autoren,Schneider,978-3-8032-0580,1985,Belletristik,Regal L,Vorhanden,
L 152,Abenteuer-Serie (Band 8),Diverse Autoren,Schneider,978-3-8032-0581,1985,Belletristik,Regal L,Vorhanden,
L 153,Abenteuer-Serie (Band 9),Diverse Autoren,Schneider,978-3-8032-0582,1985,Belletristik,Regal L,Vorhanden,
L 154,Abenteuer-Serie (Band 10),Diverse Autoren,Schneider,978-3-8032-0583,1985,Belletristik,Regal L,Vorhanden,
L 155,Abenteuer-Serie (Band 11),Diverse Autoren,Schneider,978-3-8032-0584,1985,Belletristik,Regal L,Vorhanden,
L 156,Abenteuer-Serie (Band 12),Diverse Autoren,Schneider,978-3-8032-0585,1985,Belletristik,Regal L,Vorhanden,
L 157,Leseraketen Lachgeschichten,Diverse Autoren,Beltz & Gelberg,978-3-8032-0586,1985,Belletristik,Regal L,Vorhanden,
L 158,Leselöwen Indianergeschichten,Diverse Autoren,Loewe,978-3-8032-0587,1985,Belletristik,Regal L,Vorhanden,
L 159,Der Blaue Rabe - Erster Lesespaß,Diverse Autoren,Ravensburger,978-3-8032-0588,1985,Belletristik,Regal L,Vorhanden,
L 160,Sonne, Mond und Sterne Reihe - Abenteuer,Diverse Autoren,Oetinger,978-3-8032-0589,1985,Belletristik,Regal L,Vorhanden,
L 161,Sonne, Mond und Sterne Reihe - Tiergeschichten,Diverse Autoren,Oetinger,978-3-8032-0590,1985,Belletristik,Regal L,Vorhanden,
L 162,Janosch: Geschichten aus dem Paradies,Janosch,Beltz & Gelberg,978-3-8032-0591,1985,Belletristik,Regal L,Vorhanden,
L 163,Janosch: Komm, wir finden einen Schatz,Janosch,Beltz & Gelberg,978-3-8032-0592,1985,Belletristik,Regal L,Vorhanden,
L 164,Laura Ingalls Wilder: Der tollste Bruder der Welt,Laura Ingalls Wilder,Schneider,978-3-8032-0593,1985,Belletristik,Regal L,Vorhanden,
L 165,Hexe Lilli und der Weihnachtszauber,Knister,Arena,978-3-8032-0594,1985,Belletristik,Regal L,Vorhanden,
L 166,Hexe Lilli in der Steinzeit,Knister,Arena,978-3-8032-0595,1985,Belletristik,Regal L,Vorhanden,
L 167,Hexe Lilli und das verzauberte Klassenzimmer,Knister,Arena,978-3-8032-0596,1985,Belletristik,Regal L,Vorhanden,
L 168,Hexe Lilli (Weitere Bände),Knister,Arena,978-3-8032-0597,1985,Belletristik,Regal L,Vorhanden,
L 169,Die schönsten Astrid Lindgren Märchen,Astrid Lindgren,Oetinger,978-3-8032-0598,1985,Belletristik,Regal L,Vorhanden,
L 170,Als Klein-Ida auch mal Unfug machen wollte,Astrid Lindgren,Oetinger,978-3-8032-0599,1985,Belletristik,Regal L,Vorhanden,
L 171,Magnus und die Zauberdose,Diverse Autoren,Ravensburger,978-3-8032-0600,1985,Belletristik,Regal L,Vorhanden,
L 172,Ein Hund spricht doch nicht mit jedem,Diverse Autoren,Thienemann,978-3-8032-0601,1985,Belletristik,Regal L,Vorhanden,
L 173,Linnea findet einen Waisenhund,Kirsten Boie,Oetinger,978-3-8032-0602,1985,Belletristik,Regal L,Vorhanden,
L 174,Es war eine dunkle und stürmische Nacht,Diverse Autoren,Beltz & Gelberg,978-3-8032-0603,1985,Belletristik,Regal L,Vorhanden,
L 175,Einmal als der Bär ans Meer kam,Anke Kuhl / Philip Waechter,Beltz & Gelberg,978-3-8032-0604,1985,Belletristik,Regal L,Vorhanden,
L 176,Ich mag dich - weil du anders bist,Diverse Autoren,Lappan,978-3-8032-0605,1985,Belletristik,Regal L,Vorhanden,
L 177,Zwieselchen im Zoo,Diverse Autoren,Ravensburger,978-3-8032-0606,1985,Belletristik,Regal L,Vorhanden,
L 178,Der Räuber Hotzenplotz und die Mondrakete,Otfried Preußler,Thienemann,978-3-8032-0607,1985,Belletristik,Regal L,Vorhanden,
L 179,Hexe Lilli und der Weihnachtszauber,Knister,Arena,978-3-8032-0608,1985,Belletristik,Regal L,Vorhanden,
L 180,Hexe Lilli in der Steinzeit,Knister,Arena,978-3-8032-0609,1985,Belletristik,Regal L,Vorhanden,
L 181,Michel aus Lönneberga (Gesamtausgabe),Astrid Lindgren,Oetinger,978-3-8032-0610,1985,Belletristik,Regal L,Vorhanden,
L 182,Pippi Langstrumpf,Astrid Lindgren,Oetinger,978-3-8032-0611,1985,Belletristik,Regal L,Vorhanden,
L 183,Die Kinder aus der Krachmacherstraße,Astrid Lindgren,Oetinger,978-3-8032-0612,1985,Belletristik,Regal L,Vorhanden,
L 184,Die kleine Hexe,Otfried Preußler,Thienemann,978-3-8032-0613,1985,Belletristik,Regal L,Vorhanden,
L 185,Das kleine Ich bin Ich,Mira Lobe,Jungbrunnen,978-3-8032-0614,1985,Belletristik,Regal L,Vorhanden,
L 186,Rettet Jette,Peter Härtling,Beltz & Gelberg,978-3-8032-0615,1985,Belletristik,Regal L,Vorhanden,
L 187,Oma. Die Geschichte von Kalle,Peter Härtling,Beltz & Gelberg,978-3-8032-0616,1985,Belletristik,Regal L,Vorhanden,
L 188,Mit Clara sind wir sechs,Peter Härtling,Beltz & Gelberg,978-3-8032-0617,1985,Belletristik,Regal L,Vorhanden,
L 189,Reise gegen den Wind,Peter Härtling,Beltz & Gelberg,978-3-8032-0618,1985,Belletristik,Regal L,Vorhanden,
L 190,Der Bär im kleinen Boot,Else Wimmer,Ellermann,978-3-8032-0619,1985,Belletristik,Regal L,Vorhanden,
L 191,Astrid Lindgren erzählt,Astrid Lindgren,Oetinger,978-3-8032-0620,1985,Belletristik,Regal L,Vorhanden,
L 192,Paul Maar - Abenteuerliche Geschichten,Paul Maar,Oetinger,978-3-8032-0621,1985,Belletristik,Regal L,Vorhanden,
L 193,Herr Bello und das blaue Wunder,Paul Maar,Oetinger,978-3-8032-0622,1985,Belletristik,Regal L,Vorhanden,
L 194,In einem tiefen dunklen Wald,Paul Maar,Oetinger,978-3-8032-0623,1985,Belletristik,Regal L,Vorhanden,
L 195,Der verhexte Knödeltopf (Weitere Geschichten),Paul Maar,Oetinger,978-3-8032-0624,1985,Belletristik,Regal L,Vorhanden,
L 196,Das kleine Känguru (Weitere Geschichten),Paul Maar,Oetinger,978-3-8032-0625,1985,Belletristik,Regal L,Vorhanden,
L 197,Michels tolle Streiche,Astrid Lindgren,Oetinger,978-3-8032-0626,1985,Belletristik,Regal L,Vorhanden,
L 198,Pippi Langstrumpf in Taka-Tuka-Land,Astrid Lindgren,Oetinger,978-3-8032-0627,1985,Belletristik,Regal L,Vorhanden,
L 199,Die Kinder aus Bullerbü (Weitere Bände),Astrid Lindgren,Oetinger,978-3-8032-0628,1985,Belletristik,Regal L,Vorhanden,
L 200,Das kleine Gespenst (Weitere Abenteuer),Otfried Preußler,Thienemann,978-3-8032-0629,1985,Belletristik,Regal L,Vorhanden,
L 201,King-Kong, das Geheimnis der Bananen,Kirsten Boie,Oetinger,978-3-8032-0630,1985,Belletristik,Regal L,Vorhanden,
L 202,King-Kong, die Reise nach Taka-Tuka-Land,Kirsten Boie,Oetinger,978-3-8032-0631,1985,Belletristik,Regal L,Vorhanden,
L 203,King-Kong (Weitere Bände),Kirsten Boie,Oetinger,978-3-8032-0632,1985,Belletristik,Regal L,Vorhanden,
L 204,Störenfriede - Lauter Krachgeschichten,Jana Frey,Arena,978-3-8032-0633,1985,Belletristik,Regal L,Vorhanden,
L 205,Einmal als der Bär ans Meer kam (Fortsetzung),Anke Kuhl / Philip Waechter,Beltz & Gelberg,978-3-8032-0634,1985,Belletristik,Regal L,Vorhanden,
L 206,Heit was Los uff der Welt (Band 2),Diverse Autoren,Badenia Verlag,978-3-8032-0635,1985,Belletristik,Regal L,Vorhanden,
L 207,Die Keilers machen sich breit (Band 2),Alice Keller,Arena,978-3-8032-0636,1985,Belletristik,Regal L,Vorhanden,
L 208,Die Olchis und der blaue Fleck,Erhard Dietl,Oetinger,978-3-8032-0637,1985,Belletristik,Regal L,Vorhanden,
L 209,Dr. Brumms Abenteuer (Band 2),Daniel Napp,Thienemann,978-3-8032-0638,1985,Belletristik,Regal L,Vorhanden,
L 210,Der kleine Brüllbär lernt lachen,Ingrid Uebe,Ueberreuter,978-3-8032-0639,1985,Belletristik,Regal L,Vorhanden,
L 211,Janosch: Kleiner Tiger, kleiner Bär,Janosch,Beltz & Gelberg,978-3-8032-0640,1985,Belletristik,Regal L,Vorhanden,
L 212,Die schönsten Kindergeschichten,Diverse Autoren,Ravensburger,978-3-8032-0641,1985,Belletristik,Regal L,Vorhanden,
L 213,Vorlesegeschichten für die Kleinsten,Diverse Autoren,Carlsen,978-3-8032-0642,1985,Belletristik,Regal L,Vorhanden,
L 214,King-Kong der Flaschengeist,Kirsten Boie,Oetinger,978-3-8032-0643,1985,Belletristik,Regal L,Vorhanden,
L 215,Die schönsten Märchen der Welt,Diverse Autoren,Pestalozzi,978-3-8032-0644,1985,Belletristik,Regal L,Vorhanden,
L 216,Weihnachtsgeschichten,Diverse Autoren,Ellermann,978-3-8032-0645,1985,Belletristik,Regal L,Vorhanden,
L 217,Otfried Preußler - Das große Vorlesebuch,Otfried Preußler,Thienemann,978-3-8032-0646,1985,Belletristik,Regal L,Vorhanden,
L 218,Die Olchis sind da,Erhard Dietl,Oetinger,978-3-8032-0647,1985,Belletristik,Regal L,Vorhanden,
